# error_bound=654.95
# theoretical_delta=0.0500
# actual_violation_frac=0.000128
# bound_violations=1075
# total_queries=8388608
# zipf_exponent=0.70
Item	TrueFreq	Q_0.00000	Q_0.00135	Q_0.02275	Q_0.15866	Q_0.50000	Q_0.84134	Q_0.90000	Q_0.91000	Q_0.92000	Q_0.93000	Q_0.94000	Q_0.95000	Q_0.96000	Q_0.97000	Q_0.97725	Q_0.98000	Q_0.99000	Q_0.99100	Q_0.99200	Q_0.99300	Q_0.99400	Q_0.99500	Q_0.99600	Q_0.99700	Q_0.99800	Q_0.99900	Q_0.99865	Q_0.99990	Q_1.00000
999	11	0.00	0.00	0.00	29.00	84.00	159.00	186.00	193.00	199.00	205.00	213.00	223.00	238.00	251.00	267.00	273.00	336.00	336.00	336.00	336.00	339.00	360.00	360.00	421.00	421.00	421.00	421.00	421.00	421.00
926	12	0.00	0.00	0.00	28.00	82.00	158.00	183.00	188.00	195.00	199.00	209.00	219.00	232.00	246.00	268.00	268.00	310.00	323.00	323.00	323.00	323.00	331.00	331.00	339.00	339.00	339.00	339.00	339.00	339.00
975	13	0.00	0.00	0.00	29.00	81.00	157.00	184.00	188.00	193.00	200.00	207.00	219.00	232.00	249.00	268.00	272.00	304.00	304.00	304.00	317.00	317.00	317.00	317.00	337.00	337.00	580.00	580.00	580.00	580.00
855	13	0.00	0.00	0.00	30.00	83.00	155.00	181.00	186.00	191.00	200.00	210.00	218.00	230.00	245.00	255.00	268.00	305.00	305.00	333.00	333.00	342.00	342.00	342.00	342.00	499.00	509.00	509.00	509.00	509.00
706	13	0.00	0.00	0.00	29.00	83.00	156.00	183.00	191.00	197.00	203.00	215.00	224.00	237.00	259.00	264.00	270.00	330.00	330.00	330.00	330.00	332.00	375.00	375.00	402.00	402.00	402.00	402.00	402.00	402.00
1019	13	0.00	0.00	0.00	30.00	84.00	158.00	184.00	190.00	194.00	202.00	210.00	222.00	240.00	261.00	278.00	278.00	332.00	332.00	332.00	332.00	366.00	366.00	376.00	404.00	404.00	404.00	404.00	404.00	404.00
893	13	0.00	0.00	0.00	30.00	84.00	160.00	184.00	192.00	199.00	206.00	215.00	221.00	234.00	255.00	263.00	264.00	332.00	332.00	332.00	332.00	343.00	343.00	348.00	348.00	348.00	348.00	348.00	415.00	415.00
983	13	0.00	0.00	0.00	29.00	83.00	155.00	182.00	184.00	192.00	203.00	212.00	219.00	233.00	254.00	269.00	269.00	345.00	345.00	345.00	345.00	357.00	357.00	438.00	520.00	520.00	520.00	520.00	520.00	520.00
1023	14	0.00	0.00	0.00	31.00	83.00	156.00	184.00	192.00	198.00	204.00	213.00	228.00	235.00	255.00	260.00	267.00	331.00	331.00	331.00	360.00	360.00	411.00	411.00	435.00	435.00	435.00	435.00	435.00	435.00
994	14	0.00	0.00	0.00	30.00	84.00	158.00	183.00	189.00	194.00	202.00	208.00	220.00	234.00	247.00	265.00	268.00	303.00	303.00	303.00	303.00	338.00	338.00	338.00	338.00	409.00	425.00	425.00	425.00	425.00
982	15	0.00	0.00	0.00	29.00	82.00	155.00	178.00	186.00	195.00	206.00	213.00	220.00	234.00	248.00	257.00	264.00	299.00	299.00	299.00	305.00	305.00	341.00	361.00	361.00	361.00	361.00	361.00	585.00	585.00
1005	15	0.00	0.00	0.00	31.00	84.00	159.00	186.00	187.00	199.00	205.00	213.00	227.00	236.00	256.00	280.00	291.00	336.00	336.00	336.00	344.00	344.00	344.00	344.00	387.00	387.00	441.00	441.00	441.00	441.00
754	15	0.00	0.00	0.00	30.00	82.00	155.00	178.00	185.00	194.00	198.00	205.00	219.00	225.00	238.00	254.00	255.00	304.00	304.00	324.00	324.00	324.00	324.00	328.00	342.00	342.00	342.00	342.00	342.00	342.00
993	15	0.00	0.00	0.00	29.00	82.00	157.00	184.00	190.00	199.00	203.00	213.00	225.00	238.00	258.00	279.00	280.00	327.00	327.00	327.00	329.00	329.00	355.00	355.00	355.00	355.00	369.00	369.00	369.00	369.00
863	15	0.00	0.00	0.00	29.00	83.00	156.00	181.00	184.00	191.00	200.00	206.00	217.00	229.00	237.00	261.00	266.00	315.00	315.00	315.00	315.00	335.00	335.00	344.00	344.00	344.00	344.00	344.00	351.00	351.00
900	15	0.00	0.00	0.00	30.00	84.00	158.00	183.00	190.00	198.00	203.00	210.00	221.00	235.00	251.00	261.00	277.00	288.00	288.00	337.00	337.00	337.00	337.00	352.00	465.00	465.00	465.00	465.00	465.00	465.00
922	15	0.00	0.00	0.00	31.00	85.00	159.00	184.00	193.00	198.00	205.00	212.00	218.00	235.00	249.00	256.00	266.00	325.00	330.00	330.00	330.00	330.00	386.00	386.00	386.00	386.00	514.00	514.00	514.00	514.00
940	16	0.00	0.00	0.00	30.00	82.00	156.00	183.00	187.00	196.00	205.00	213.00	223.00	232.00	249.00	268.00	278.00	334.00	334.00	334.00	334.00	344.00	407.00	407.00	407.00	407.00	417.00	417.00	417.00	417.00
905	16	0.00	0.00	0.00	29.00	84.00	157.00	182.00	187.00	193.00	202.00	207.00	216.00	232.00	245.00	268.00	269.00	311.00	311.00	318.00	318.00	325.00	348.00	348.00	353.00	353.00	353.00	353.00	353.00	353.00
1009	16	0.00	0.00	0.00	31.00	84.00	157.00	185.00	192.00	202.00	206.00	217.00	226.00	238.00	250.00	275.00	275.00	330.00	330.00	330.00	348.00	348.00	462.00	462.00	826.00	826.00	826.00	826.00	826.00	826.00
909	16	0.00	0.00	0.00	31.00	85.00	159.00	189.00	192.00	198.00	208.00	216.00	224.00	235.00	258.00	271.00	274.00	322.00	322.00	337.00	380.00	380.00	380.00	380.00	384.00	384.00	470.00	470.00	470.00	470.00
692	16	0.00	0.00	0.00	30.00	84.00	158.00	184.00	190.00	194.00	204.00	213.00	227.00	235.00	248.00	268.00	271.00	322.00	322.00	322.00	322.00	345.00	345.00	356.00	356.00	356.00	356.00	356.00	403.00	403.00
772	16	0.00	0.00	0.00	30.00	81.00	152.00	178.00	183.00	193.00	197.00	205.00	213.00	230.00	247.00	258.00	263.00	302.00	302.00	312.00	312.00	343.00	350.00	350.00	350.00	357.00	381.00	381.00	381.00	381.00
824	16	0.00	0.00	0.00	30.00	82.00	158.00	182.00	188.00	198.00	200.00	213.00	222.00	236.00	249.00	265.00	280.00	295.00	320.00	320.00	320.00	320.00	350.00	373.00	373.00	373.00	373.00	373.00	456.00	456.00
1012	16	0.00	0.00	0.00	28.00	83.00	159.00	186.00	190.00	197.00	204.00	210.00	220.00	237.00	251.00	266.00	267.00	301.00	301.00	301.00	301.00	305.00	305.00	361.00	371.00	371.00	371.00	371.00	371.00	371.00
971	16	0.00	0.00	0.00	31.00	84.00	157.00	182.00	188.00	195.00	202.00	212.00	222.00	236.00	255.00	266.00	266.00	339.00	339.00	339.00	339.00	346.00	346.00	346.00	346.00	371.00	450.00	450.00	450.00	450.00
972	16	0.00	0.00	0.00	30.00	82.00	155.00	182.00	189.00	194.00	199.00	210.00	218.00	223.00	245.00	253.00	256.00	301.00	301.00	310.00	310.00	311.00	339.00	339.00	339.00	339.00	381.00	381.00	381.00	381.00
871	16	0.00	0.00	0.00	29.00	82.00	157.00	182.00	186.00	194.00	203.00	210.00	225.00	242.00	254.00	267.00	276.00	306.00	306.00	306.00	306.00	357.00	357.00	373.00	373.00	373.00	373.00	373.00	394.00	394.00
1022	16	0.00	0.00	0.00	30.00	84.00	157.00	182.00	188.00	196.00	203.00	209.00	220.00	230.00	250.00	264.00	273.00	313.00	402.00	402.00	402.00	402.00	503.00	503.00	540.00	540.00	540.00	540.00	540.00	540.00
608	16	0.00	0.00	0.00	30.00	83.00	157.00	184.00	190.00	195.00	202.00	215.00	224.00	233.00	249.00	264.00	268.00	325.00	337.00	337.00	337.00	337.00	357.00	357.00	357.00	367.00	373.00	373.00	373.00	373.00
936	17	0.00	0.00	0.00	28.00	82.00	156.00	180.00	185.00	194.00	198.00	209.00	222.00	225.00	248.00	272.00	276.00	306.00	321.00	321.00	321.00	321.00	364.00	364.00	364.00	388.00	388.00	388.00	459.00	459.00
943	17	0.00	0.00	0.00	30.00	83.00	156.00	180.00	185.00	192.00	201.00	205.00	222.00	230.00	246.00	267.00	280.00	305.00	305.00	323.00	323.00	323.00	323.00	347.00	347.00	347.00	347.00	347.00	439.00	439.00
1002	17	0.00	0.00	0.00	29.00	84.00	157.00	183.00	191.00	193.00	206.00	214.00	226.00	234.00	254.00	276.00	284.00	316.00	316.00	334.00	334.00	334.00	334.00	335.00	423.00	423.00	423.00	423.00	423.00	423.00
688	17	0.00	0.00	0.00	31.00	85.00	157.00	186.00	193.00	199.00	204.00	213.00	226.00	242.00	258.00	276.00	294.00	340.00	340.00	340.00	340.00	362.00	362.00	436.00	609.00	609.00	609.00	609.00	609.00	609.00
947	17	0.00	0.00	0.00	32.00	84.00	157.00	184.00	188.00	196.00	205.00	213.00	221.00	238.00	245.00	272.00	272.00	313.00	315.00	315.00	329.00	329.00	402.00	402.00	402.00	402.00	511.00	511.00	511.00	511.00
948	17	0.00	0.00	0.00	31.00	83.00	158.00	185.00	192.00	199.00	207.00	212.00	224.00	233.00	255.00	271.00	283.00	320.00	320.00	338.00	338.00	338.00	338.00	375.00	375.00	446.00	446.00	446.00	465.00	465.00
755	17	0.00	0.00	0.00	30.00	84.00	158.00	185.00	190.00	196.00	208.00	216.00	223.00	234.00	241.00	269.00	269.00	315.00	315.00	327.00	327.00	328.00	328.00	328.00	328.00	333.00	333.00	333.00	422.00	422.00
916	17	0.00	0.00	0.00	29.00	83.00	161.00	186.00	193.00	199.00	206.00	218.00	226.00	239.00	258.00	269.00	276.00	314.00	331.00	331.00	331.00	331.00	408.00	408.00	659.00	659.00	659.00	659.00	659.00	659.00
963	17	0.00	0.00	0.00	28.00	83.00	155.00	179.00	184.00	191.00	199.00	205.00	218.00	227.00	241.00	251.00	258.00	305.00	305.00	305.00	305.00	334.00	358.00	374.00	391.00	391.00	391.00	391.00	391.00	391.00
821	17	0.00	0.00	0.00	30.00	83.00	159.00	185.00	189.00	195.00	202.00	215.00	226.00	236.00	255.00	268.00	284.00	331.00	331.00	331.00	331.00	336.00	348.00	348.00	348.00	350.00	355.00	355.00	355.00	355.00
944	18	0.00	0.00	0.00	31.00	84.00	162.00	186.00	192.00	198.00	207.00	214.00	227.00	240.00	263.00	269.00	289.00	318.00	318.00	362.00	362.00	362.00	362.00	409.00	409.00	409.00	409.00	409.00	505.00	505.00
902	18	0.00	0.00	0.00	31.00	85.00	161.00	184.00	190.00	194.00	203.00	210.00	220.00	235.00	245.00	261.00	263.00	306.00	306.00	306.00	321.00	321.00	428.00	428.00	445.00	445.00	445.00	445.00	445.00	445.00
833	18	0.00	0.00	0.00	31.00	85.00	161.00	185.00	193.00	197.00	203.00	211.00	217.00	236.00	253.00	265.00	273.00	305.00	321.00	321.00	321.00	321.00	382.00	382.00	382.00	382.00	518.00	518.00	518.00	518.00
929	18	0.00	0.00	0.00	28.00	82.00	159.00	185.00	190.00	197.00	203.00	214.00	228.00	237.00	253.00	275.00	283.00	343.00	343.00	343.00	343.00	353.00	355.00	446.00	446.00	446.00	446.00	446.00	562.00	562.00
716	18	0.00	0.00	0.00	31.00	83.00	156.00	183.00	186.00	193.00	203.00	211.00	220.00	231.00	254.00	273.00	273.00	320.00	320.00	320.00	320.00	356.00	356.00	364.00	364.00	364.00	364.00	364.00	393.00	393.00
1016	18	0.00	0.00	0.00	31.00	86.00	159.00	188.00	193.00	200.00	207.00	219.00	226.00	241.00	251.00	260.00	271.00	298.00	314.00	314.00	314.00	314.00	347.00	347.00	347.00	347.00	375.00	375.00	375.00	375.00
867	18	0.00	0.00	0.00	30.00	84.00	156.00	184.00	192.00	199.00	204.00	213.00	222.00	234.00	248.00	261.00	273.00	309.00	309.00	309.00	309.00	351.00	351.00	391.00	404.00	404.00	404.00	404.00	404.00	404.00
784	18	0.00	0.00	0.00	30.00	84.00	155.00	182.00	187.00	196.00	203.00	211.00	225.00	234.00	250.00	262.00	267.00	327.00	327.00	327.00	362.00	362.00	368.00	368.00	392.00	392.00	392.00	392.00	392.00	392.00
853	18	0.00	0.00	0.00	31.00	85.00	154.00	180.00	184.00	191.00	201.00	206.00	218.00	228.00	245.00	263.00	266.00	292.00	292.00	300.00	300.00	313.00	347.00	371.00	371.00	371.00	371.00	371.00	490.00	490.00
782	18	0.00	0.00	0.00	30.00	83.00	157.00	185.00	191.00	196.00	204.00	213.00	225.00	232.00	243.00	258.00	265.00	300.00	315.00	315.00	315.00	315.00	339.00	339.00	357.00	357.00	357.00	357.00	357.00	357.00
806	18	0.00	0.00	0.00	31.00	85.00	158.00	185.00	189.00	197.00	203.00	212.00	222.00	238.00	254.00	262.00	281.00	308.00	308.00	315.00	315.00	344.00	344.00	391.00	391.00	391.00	391.00	391.00	570.00	570.00
880	18	0.00	0.00	0.00	30.00	83.00	158.00	185.00	188.00	196.00	206.00	213.00	226.00	231.00	250.00	265.00	269.00	325.00	325.00	325.00	350.00	350.00	427.00	427.00	427.00	427.00	517.00	517.00	517.00	517.00
694	18	0.00	0.00	0.00	30.00	82.00	155.00	181.00	186.00	192.00	201.00	215.00	220.00	230.00	252.00	270.00	270.00	332.00	332.00	332.00	332.00	364.00	364.00	364.00	364.00	381.00	381.00	381.00	567.00	567.00
960	18	0.00	0.00	0.00	29.00	82.00	155.00	182.00	188.00	192.00	201.00	211.00	215.00	229.00	245.00	259.00	264.00	306.00	306.00	313.00	313.00	313.00	313.00	335.00	335.00	335.00	335.00	335.00	370.00	370.00
992	18	0.00	0.00	0.00	30.00	84.00	160.00	187.00	192.00	196.00	204.00	213.00	229.00	239.00	261.00	275.00	287.00	324.00	324.00	357.00	357.00	357.00	357.00	446.00	446.00	505.00	505.00	505.00	706.00	706.00
890	19	0.00	0.00	0.00	31.00	85.00	157.00	184.00	192.00	200.00	206.00	216.00	224.00	240.00	260.00	272.00	272.00	324.00	324.00	351.00	351.00	398.00	512.00	512.00	551.00	551.00	551.00	551.00	551.00	551.00
910	19	0.00	0.00	0.00	31.00	84.00	158.00	186.00	189.00	194.00	202.00	212.00	225.00	236.00	251.00	265.00	265.00	319.00	319.00	319.00	319.00	342.00	342.00	342.00	342.00	405.00	405.00	405.00	525.00	525.00
659	19	0.00	0.00	0.00	30.00	85.00	157.00	183.00	188.00	196.00	204.00	213.00	225.00	233.00	247.00	261.00	277.00	340.00	340.00	340.00	340.00	354.00	375.00	397.00	397.00	397.00	397.00	397.00	526.00	526.00
966	19	0.00	0.00	0.00	30.00	83.00	154.00	177.00	184.00	191.00	199.00	207.00	216.00	227.00	241.00	257.00	258.00	289.00	289.00	289.00	289.00	327.00	327.00	327.00	327.00	327.00	327.00	327.00	367.00	367.00
