START JOB QuotientFilterSizeProfile
Date Time: 2024/07/03 04:57:33 PST
TrueU	Size	NumTrials	FalsePositiveRate	NumHashBits
3	96	16384	2.44140625E-4	10
4	104	10922	7.32421875E-4	10
5	104	8192	4.8828125E-4	10
6	104	6553	2.44140625E-4	10
7	192	5461	7.32421875E-4	10
8	208	4681	0.0	10
9	208	4096	2.44140625E-4	10
10	208	3640	7.32421875E-4	10
11	208	3276	9.765625E-4	10
12	208	2978	0.001220703125	10
13	208	2730	7.32421875E-4	10
14	384	2520	0.001220703125	10
15	416	2340	2.44140625E-4	10
16	416	2184	4.8828125E-4	10
17	416	2048	2.44140625E-4	10
18	416	1927	7.32421875E-4	10
20	416	1820	9.765625E-4	10
21	416	1638	4.8828125E-4	10
23	416	1560	0.001220703125	10
24	416	1424	4.8828125E-4	10
26	416	1365	9.765625E-4	10
28	768	1260	2.44140625E-4	10
30	832	1170	7.32421875E-4	10
32	832	1092	2.44140625E-4	10
34	832	1024	4.8828125E-4	10
37	832	1024	7.32421875E-4	10
39	832	1024	2.44140625E-4	10
42	832	1024	4.8828125E-4	10
45	832	1024	0.00146484375	10
49	832	1024	2.44140625E-4	10
52	832	1024	0.001220703125	10
56	832	1024	0.001220703125	10
60	1664	1024	2.44140625E-4	10
64	1664	1024	7.32421875E-4	10
69	1664	1024	0.001220703125	10
74	1664	1024	4.8828125E-4	10
79	1664	1024	4.8828125E-4	10
84	1664	1024	4.8828125E-4	10
91	1664	1024	2.44140625E-4	10
97	1664	1024	9.765625E-4	10
104	1664	1024	4.8828125E-4	10
111	1664	1024	9.765625E-4	10
119	3328	1024	7.32421875E-4	10
128	3328	1024	2.44140625E-4	10
137	3328	1024	7.32421875E-4	10
147	3328	1024	4.8828125E-4	10
158	3328	1024	2.44140625E-4	10
169	3328	1024	2.44140625E-4	10
181	3328	1024	4.8828125E-4	10
194	3328	1024	0.001220703125	10
208	3328	1024	2.44140625E-4	10
223	3328	1024	4.8828125E-4	10
239	6656	1024	9.765625E-4	10
256	6656	1024	2.44140625E-4	10
274	6656	1024	4.8828125E-4	10
294	6656	1024	2.44140625E-4	10
315	6656	1024	0.001220703125	10
338	6656	1024	9.765625E-4	10
362	6656	1024	4.8828125E-4	10
388	6656	1024	0.00146484375	10
416	6656	1024	4.8828125E-4	10
446	6656	1024	9.765625E-4	10
478	13312	1024	2.44140625E-4	10
512	13312	1024	0.0	10
549	13312	1024	7.32421875E-4	10
588	13312	1024	0.001220703125	10
630	13312	1024	9.765625E-4	10
676	13312	1024	4.8828125E-4	10
724	13312	1024	0.00146484375	10
776	13312	1024	0.001220703125	10
832	13312	1024	9.765625E-4	10
891	13312	1024	7.32421875E-4	10
955	26624	1024	4.8828125E-4	10
1024	26624	1024	4.8828125E-4	10
1097	26624	1024	4.8828125E-4	10
1176	26624	1024	9.765625E-4	10
1261	26624	1024	9.765625E-4	10
1351	26624	1024	4.8828125E-4	10
1448	26624	1024	0.0	10
1552	26624	1024	4.8828125E-4	10
1663	26624	1024	2.44140625E-4	10
1783	26624	1024	7.32421875E-4	10
1911	53248	1024	4.8828125E-4	10
2048	53248	1024	0.001220703125	10
2195	53248	1024	2.44140625E-4	10
2353	53248	1024	9.765625E-4	10
2521	53248	1024	0.001220703125	10
2702	53248	1024	4.8828125E-4	10
2896	53248	1024	0.0	10
3104	53248	1024	2.44140625E-4	10
3327	53248	1024	7.32421875E-4	10
3566	53248	1024	0.0	10
3822	106496	1024	2.44140625E-4	10
4096	106496	1024	7.32421875E-4	10
4390	106496	1024	7.32421875E-4	10
4705	106496	1024	4.8828125E-4	10
5043	106496	1024	0.0	10
5405	106496	1024	2.44140625E-4	10
5793	106496	1024	0.00146484375	10
6208	106496	1024	2.44140625E-4	10
6654	106496	1024	9.765625E-4	10
7132	106496	1024	7.32421875E-4	10
7643	212992	1024	7.32421875E-4	10
8192	212992	1024	0.0	10
8780	212992	1024	4.8828125E-4	10
9410	212992	1024	9.765625E-4	10
10086	212992	1024	2.44140625E-4	10
10809	212992	1024	2.44140625E-4	10
11585	212992	1024	9.765625E-4	10
12417	212992	1024	0.0	10
13308	212992	1024	4.8828125E-4	10
14263	212992	1024	0.001708984375	10
15287	425984	1024	0.0	10
16384	425984	1024	2.44140625E-4	10
17560	425984	1024	9.765625E-4	10
18820	425984	1024	4.8828125E-4	10
20171	425984	1024	7.32421875E-4	10
21619	425984	1024	9.765625E-4	10
23170	425984	1024	9.765625E-4	10
24834	425984	1024	9.765625E-4	10
26616	425984	1024	7.32421875E-4	10
28526	425984	1024	9.765625E-4	10
30574	851968	1024	4.8828125E-4	10
32768	851968	1024	4.8828125E-4	10
35120	851968	1024	0.0	10
37641	851968	1024	4.8828125E-4	10
40342	851968	1024	2.44140625E-4	10
43238	851968	1024	4.8828125E-4	10
46341	851968	1024	2.44140625E-4	10
49667	851968	1024	0.001220703125	10
53232	851968	1024	0.00146484375	10
57052	851968	1024	4.8828125E-4	10
61147	1703936	1024	4.8828125E-4	10
65536	1703936	1024	2.44140625E-4	10
70240	1703936	1024	0.0	10
75281	1703936	1024	7.32421875E-4	10
80684	1703936	1024	9.765625E-4	10
86475	1703936	1024	4.8828125E-4	10
92682	1703936	1024	2.44140625E-4	10
99334	1703936	1024	9.765625E-4	10
106464	1703936	1024	7.32421875E-4	10
114105	1703936	1024	0.001220703125	10
122295	3407872	1024	7.32421875E-4	10
131072	3407872	1024	2.44140625E-4	10
140479	3407872	1024	2.44140625E-4	10
150562	3407872	1024	0.001220703125	10
161369	3407872	1024	9.765625E-4	10
172951	3407872	1024	7.32421875E-4	10
185364	3407872	1024	0.001220703125	10
198668	3407872	1024	4.8828125E-4	10
212927	3407872	1024	9.765625E-4	10
228210	3407872	1024	9.765625E-4	10
244589	6815744	1024	4.8828125E-4	10
262144	6815744	1024	4.8828125E-4	10
280959	6815744	1024	0.001220703125	10
301124	6815744	1024	9.765625E-4	10
322737	6815744	1024	4.8828125E-4	10
345901	6815744	1024	4.8828125E-4	10
370728	6815744	1024	9.765625E-4	10
397336	6815744	1024	2.44140625E-4	10
425854	6815744	1024	7.32421875E-4	10
456419	6815744	1024	7.32421875E-4	10
489178	13631488	1024	0.0	10
524288	13631488	1024	9.765625E-4	10
561918	13631488	1024	7.32421875E-4	10
602249	13631488	1024	7.32421875E-4	10
645474	13631488	1024	4.8828125E-4	10
691802	13631488	1024	0.0	10
741455	13631488	1024	0.00146484375	10
794672	13631488	1024	0.0	10
851708	13631488	1024	2.44140625E-4	10
912838	13631488	1024	9.765625E-4	10
978356	27262976	1024	2.44140625E-4	10
1048576	27262976	1024	0.0	10

PROPERTIES:
FileNameDateFormat=yyyyMMdd'_'HHmmssz
JobProfile=org.apache.datasketches.characterization.filters.QuotientFilterSizeProfile
OutputFileName=QuotientFilterSizeProfile20240703_045733PST.txt
OutputFileNameData=QuotientFilterSizeProfile20240703_045733PST.tsv
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
targetFpp=1e-3
TimeZone=PST
TimeZoneOffset=-28800000
Trials_lgMaxBpU=5
Trials_lgMaxT=14
Trials_lgMaxU=20
Trials_lgMinBpU=1
Trials_lgMinT=10
Trials_lgMinU=0
Trials_TPPO=1
Trials_UPPO=10

Total Job Time: 0:00:01.478
END JOB QuotientFilterSizeProfile


