START JOB BloomFilterSizeProfile
Date Time: 2024/07/03 01:41:40 PST
TrueU	Size	NumTrials	FalsePositiveRate	NumHashBits
3	128	16384	0.003031015396118164	21
4	128	10922	0.0032535791397094727	21
5	192	8192	8.099079132080078E-4	20
6	192	6553	9.753704071044922E-4	20
7	256	5461	0.0012896060943603516	21
8	256	4681	0.001676797866821289	21
9	320	4096	1.94549560546875E-4	20
10	320	3640	7.684230804443359E-4	20
11	320	3276	4.975795745849609E-4	20
12	384	2978	5.576610565185547E-4	20
13	384	2730	5.486011505126953E-4	20
14	448	2520	2.186298370361328E-4	20
15	448	2340	8.077621459960938E-4	20
16	512	2184	8.361339569091797E-4	20
17	512	2048	0.0014133453369140625	20
18	576	1927	1.4328956604003906E-4	20
20	576	1820	1.7786026000976562E-4	20
21	640	1638	3.0040740966796875E-4	20
23	704	1560	1.1301040649414062E-4	20
24	704	1424	1.3494491577148438E-4	20
26	768	1365	3.4618377685546875E-4	20
28	832	1260	1.2993812561035156E-4	20
30	896	1170	1.0633468627929688E-4	20
32	960	1092	9.1552734375E-5	20
34	1024	1024	4.734992980957031E-4	20
37	1088	1024	1.0943412780761719E-4	20
39	1152	1024	1.0752677917480469E-4	20
42	1216	1024	9.369850158691406E-5	20
45	1344	1024	8.606910705566406E-5	20
49	1472	1024	6.198883056640625E-5	20
52	1536	1024	1.9502639770507812E-4	20
56	1664	1024	1.010894775390625E-4	20
60	1728	1024	7.081031799316406E-5	20
64	1856	1024	5.2928924560546875E-5	20
69	2048	1024	2.2220611572265625E-4	20
74	2176	1024	4.6253204345703125E-5	20
79	2304	1024	5.984306335449219E-5	20
84	2432	1024	4.38690185546875E-5	20
91	2624	1024	4.3392181396484375E-5	20
97	2816	1024	5.507469177246094E-5	20
104	3008	1024	4.363059997558594E-5	20
111	3200	1024	3.8623809814453125E-5	20
119	3456	1024	3.4332275390625E-5	20
128	3712	1024	2.9087066650390625E-5	20
137	3968	1024	3.361701965332031E-5	20
147	4288	1024	2.7418136596679688E-5	20
158	4544	1024	2.6226043701171875E-5	20
169	4864	1024	3.0040740966796875E-5	20
181	5248	1024	2.0265579223632812E-5	20
194	5632	1024	2.8133392333984375E-5	20
208	6016	1024	2.09808349609375E-5	20
223	6464	1024	1.6689300537109375E-5	20
239	6912	1024	1.7881393432617188E-5	20
256	7424	1024	1.5974044799804688E-5	20
274	7936	1024	1.33514404296875E-5	20
294	8512	1024	1.1205673217773438E-5	20
315	9088	1024	1.71661376953125E-5	20
338	9728	1024	9.5367431640625E-6	20
362	10432	1024	9.5367431640625E-6	20
388	11200	1024	9.298324584960938E-6	20
416	11968	1024	1.0013580322265625E-5	20
446	12864	1024	9.775161743164062E-6	20
478	13760	1024	8.58306884765625E-6	20
512	14784	1024	8.106231689453125E-6	20
549	15808	1024	8.344650268554688E-6	20
588	16960	1024	8.344650268554688E-6	20
630	18176	1024	4.76837158203125E-6	20
676	19456	1024	7.3909759521484375E-6	20
724	20864	1024	6.198883056640625E-6	20
776	22336	1024	5.245208740234375E-6	20
832	23936	1024	4.5299530029296875E-6	20
891	25664	1024	2.86102294921875E-6	20
955	27520	1024	6.9141387939453125E-6	20
1024	29504	1024	4.5299530029296875E-6	20
1097	31552	1024	4.5299530029296875E-6	20
1176	33856	1024	1.6689300537109375E-6	20
1261	36288	1024	5.245208740234375E-6	20
1351	38912	1024	3.0994415283203125E-6	20
1448	41664	1024	3.5762786865234375E-6	20
1552	44672	1024	4.291534423828125E-6	20
1663	47872	1024	1.9073486328125E-6	20
1783	51328	1024	2.6226043701171875E-6	20
1911	54976	1024	5.0067901611328125E-6	20
2048	58944	1024	3.0994415283203125E-6	20
2195	63168	1024	1.9073486328125E-6	20
2353	67712	1024	2.86102294921875E-6	20
2521	72512	1024	1.6689300537109375E-6	20
2702	77760	1024	2.6226043701171875E-6	20
2896	83328	1024	3.0994415283203125E-6	20
3104	89280	1024	7.152557373046875E-7	20
